fid,lat,long,sign,accuracy
1,6.893977,79.915817,U turn,20.732691884040833 %
2,6.893949,79.915867,U turn,20.52982747554779 %
3,6.893921,79.915906,U turn,28.321155905723572 %
4,6.893903,79.915923,U turn,22.75305986404419 %
5,6.893876,79.915950,U turn,30.9393048286438 %
6,6.893851,79.915993,U turn,19.968053698539734 %
7,6.893825,79.916050,U turn,22.06244170665741 %
8,6.893800,79.916133,U turn,23.995937407016754 %
9,6.893777,79.916201,U turn,27.4693101644516 %
10,6.893748,79.916266,U turn,24.329547584056854 %
11,6.893728,79.916344,U turn,25.647303462028503 %
12,6.893704,79.916422,U turn,22.155730426311493 %
13,6.893676,79.916522,U turn,22.73111343383789 %
14,6.893649,79.916629,U turn,26.17240846157074 %
15,6.893644,79.916741,U turn,19.418080151081085 %
16,6.893635,79.916853,U turn,24.706454575061798 %
17,6.893625,79.916986,U turn,28.38166356086731 %
18,6.893606,79.917113,U turn,27.911406755447388 %
19,6.893591,79.917240,U turn,28.54180932044983 %
20,6.893578,79.917366,U turn,18.15008968114853 %
21,6.893568,79.917487,U turn,21.86489850282669 %
22,6.893564,79.917594,U turn,24.348433315753937 %
23,6.893562,79.917707,U turn,25.98520517349243 %
24,6.893569,79.917831,U turn,26.45232081413269 %
25,6.893576,79.917968,U turn,26.488059759140015 %
26,6.893599,79.918101,U turn,26.524659991264343 %
27,6.893628,79.918238,U turn,24.95344579219818 %
28,6.893659,79.918367,U turn,29.613468050956726 %
29,6.893678,79.918501,U turn,28.238025307655334 %
30,6.893702,79.918638,U turn,30.358335375785828 %
31,6.893714,79.918772,U turn,19.791869819164276 %
32,6.893720,79.918905,U turn,29.26262617111206 %
33,6.893723,79.919040,U turn,27.385801076889038 %
34,6.893707,79.919177,U turn,26.515424251556396 %
35,6.893677,79.919316,U turn,24.2278054356575 %
36,6.893641,79.919458,U turn,18.76630038022995 %
37,6.893599,79.919595,U turn,20.981644093990326 %
38,6.893562,79.919725,U turn,16.173140704631805 %
39,6.893534,79.919847,U turn,22.91896790266037 %
40,6.893512,79.919947,U turn,26.34621560573578 %
41,6.893475,79.920067,U turn,21.36809527873993 %
42,6.893435,79.920198,U turn,18.769919872283936 %
43,6.893389,79.920328,U turn,17.666834592819214 %
44,6.893353,79.920455,U turn,17.406293749809265 %
45,6.893316,79.920586,U turn,21.710805594921112 %
46,6.893280,79.920715,U turn,20.544196665287018 %
47,6.893245,79.920838,U turn,21.36351466178894 %
48,6.893207,79.920967,U turn,26.191583275794983 %
49,6.893170,79.921090,U turn,18.764065206050873 %
50,6.893129,79.921214,U turn,24.447591602802277 %
51,6.893084,79.921323,U turn,27.78819501399994 %
52,6.893021,79.921407,U turn,28.145062923431396 %
53,6.892957,79.921483,U turn,24.176189303398132 %
54,6.892889,79.921553,U turn,21.539318561553955 %
55,6.892825,79.921611,U turn,20.050962269306183 %
56,6.892765,79.921661,U turn,19.61500197649002 %
57,6.892708,79.921706,U turn,18.697190284729004 %
58,6.892680,79.921739,U turn,18.83188635110855 %
59,6.892648,79.921753,U turn,19.99771296977997 %
60,6.892606,79.921770,U turn,18.99639219045639 %
61,6.892548,79.921797,U turn,16.085511445999146 %
62,6.892480,79.921830,U turn,20.086096227169037 %
63,6.892409,79.921871,U turn,20.79164683818817 %
64,6.892340,79.921911,U turn,25.98949372768402 %
65,6.892271,79.921967,U turn,24.322591722011566 %
66,6.892203,79.922018,U turn,27.28346884250641 %
67,6.892135,79.922067,U turn,26.51631236076355 %
68,6.892074,79.922106,U turn,27.908805012702942 %
69,6.892014,79.922134,U turn,26.396536827087402 %
70,6.891960,79.922172,U turn,21.852637827396393 %
71,6.891906,79.922213,U turn,18.903207778930664 %
72,6.891843,79.922265,U turn,23.831526935100555 %
73,6.891782,79.922325,U turn,19.61149126291275 %
74,6.891715,79.922380,U turn,15.318617224693298 %
75,6.891651,79.922433,U turn,23.817475140094757 %
76,6.891586,79.922487,U turn,20.24672031402588 %
77,6.891528,79.922540,U turn,19.681406021118164 %
78,6.891470,79.922594,U turn,22.973544895648956 %
79,6.891412,79.922653,U turn,22.900082170963287 %
80,6.891366,79.922712,U turn,22.9892298579216 %
81,6.891314,79.922768,U turn,21.517156064510345 %
82,6.891265,79.922828,U turn,20.18369436264038 %
83,6.891227,79.922904,U turn,20.038175582885742 %
84,6.891190,79.922979,U turn,23.352301120758057 %
85,6.891145,79.923053,U turn,19.975075125694275 %
86,6.891095,79.923135,U turn,21.36496603488922 %
87,6.891044,79.923220,U turn,26.009663939476013 %
88,6.891002,79.923308,U turn,21.03831171989441 %
89,6.890963,79.923407,U turn,19.89167332649231 %
90,6.890926,79.923506,U turn,22.441303730010986 %
91,6.890896,79.923605,U turn,24.113649129867554 %
92,6.890872,79.923716,U turn,22.696858644485474 %
93,6.890859,79.923828,U turn,22.27063775062561 %
94,6.890855,79.923930,U turn,25.263816118240356 %
95,6.890858,79.924031,U turn,24.146172404289246 %
96,6.890867,79.924138,U turn,25.99678337574005 %
97,6.890877,79.924251,U turn,24.45872873067856 %
98,6.890891,79.924376,U turn,24.380867183208466 %
99,6.890904,79.924499,U turn,21.252354979515076 %
100,6.890917,79.924627,U turn,25.020933151245117 %
101,6.890931,79.924755,U turn,26.380538940429688 %
102,6.890945,79.924878,U turn,23.7551212310791 %
103,6.890959,79.924994,U turn,28.674304485321045 %
104,6.890972,79.925106,U turn,24.21526610851288 %
105,6.890987,79.925217,U turn,24.87366944551468 %
106,6.891002,79.925328,U turn,23.62544685602188 %
107,6.891015,79.925431,U turn,21.50627374649048 %
108,6.891029,79.925535,U turn,20.742428302764893 %
109,6.891042,79.925645,U turn,21.73657864332199 %
110,6.891057,79.925745,U turn,25.75848698616028 %
111,6.891070,79.925842,U turn,23.89916330575943 %
112,6.891087,79.925941,U turn,27.65474021434784 %
