fid,lat,long
0,6.912874,79.850359
1,6.912855,79.850361
2,6.912829,79.850393
3,6.912824,79.850417
4,6.912823,79.850439
5,6.912823,79.850478
6,6.912841,79.850527
7,6.912799,79.850621
8,6.912803,79.850675
9,6.912805,79.850730
10,6.912808,79.850768
11,6.912819,79.850810
12,6.912847,79.850844
13,6.912892,79.850903
14,6.912932,79.850947
15,6.912975,79.850976
16,6.913012,79.851005
17,6.913049,79.851027
18,6.913078,79.851054
19,6.913094,79.851091
20,6.913107,79.851144
21,6.913104,79.851191
22,6.913078,79.851228
23,6.913034,79.851258
24,6.912981,79.851292
25,6.912922,79.851321
26,6.912857,79.851343
27,6.912790,79.851363
28,6.912721,79.851376
29,6.912647,79.851394
30,6.912579,79.851410
31,6.912514,79.851430
32,6.912456,79.851454
33,6.912406,79.851483
34,6.912363,79.851515
35,6.912342,79.851557
36,6.912336,79.851601
37,6.912338,79.851653
38,6.912352,79.851711
39,6.912369,79.851771
40,6.912387,79.851842
41,6.912415,79.851902
42,6.912437,79.851969
43,6.912455,79.852040
44,6.912471,79.852113
45,6.912485,79.852192
46,6.912500,79.852272
47,6.912517,79.852351
48,6.912539,79.852437
49,6.912556,79.852520
50,6.912575,79.852605
51,6.912594,79.852697
52,6.912613,79.852792
53,6.912627,79.852888
54,6.912633,79.852983
55,6.912632,79.853080
56,6.912630,79.853178
57,6.912622,79.853281
58,6.912613,79.853388
59,6.912603,79.853496
60,6.912592,79.853603
61,6.912583,79.853707
62,6.912578,79.853805
63,6.912575,79.853909
64,6.912573,79.854011
65,6.912577,79.854116
66,6.912587,79.854222
67,6.912598,79.854326
68,6.912613,79.854433
69,6.912632,79.854536
70,6.912652,79.854634
71,6.912675,79.854732
72,6.912698,79.854827
73,6.912722,79.854926
74,6.912746,79.855026
75,6.912754,79.855116
76,6.912769,79.855195
77,6.912784,79.855265
78,6.912790,79.855333
79,6.912788,79.855396
80,6.912784,79.855452
81,6.912774,79.855497
82,6.912777,79.855534
83,6.912778,79.855553
84,6.912780,79.855559
85,6.912780,79.855556
86,6.912780,79.855556
87,6.912780,79.855556
88,6.912780,79.855556
89,6.912780,79.855556
90,6.912780,79.855556
91,6.912780,79.855556
92,6.912780,79.855556
93,6.912780,79.855556
